run_name,use_bid_ask,test_method,method,pair,date,n_rows,n_maturities,call_pairs_tested,call_violations,call_violation_rate,put_pairs_tested,put_violations,put_violation_rate
rounded_mid,false,rounded,original,GBPUSD,2023-02-07,140,14,380,0,0.0,380,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-08,140,14,385,0,0.0,385,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-09,140,14,379,0,0.0,379,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-10,140,14,385,0,0.0,385,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-13,140,14,392,0,0.0,392,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-14,140,14,384,0,0.0,384,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-15,140,14,381,0,0.0,381,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-16,140,14,379,0,0.0,379,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-17,140,14,383,0,0.0,383,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-20,140,14,380,0,0.0,380,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-21,140,14,379,0,0.0,379,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-22,140,14,378,0,0.0,378,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-23,140,14,380,0,0.0,380,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-24,140,14,385,0,0.0,385,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-27,140,14,381,0,0.0,381,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-28,140,14,380,0,0.0,380,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-01,140,14,379,0,0.0,379,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-02,140,14,381,0,0.0,381,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-03,140,14,381,0,0.0,381,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-06,140,14,384,0,0.0,384,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-07,140,14,387,0,0.0,387,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-08,140,14,389,0,0.0,389,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-09,140,14,398,0,0.0,398,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-10,140,14,392,0,0.0,392,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-13,140,14,391,0,0.0,391,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-14,140,14,385,0,0.0,385,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-15,140,14,371,0,0.0,371,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-16,140,14,372,0,0.0,372,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-17,140,14,389,0,0.0,389,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-20,140,14,378,0,0.0,378,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-21,140,14,378,0,0.0,378,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-22,140,14,390,0,0.0,390,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-23,140,14,385,0,0.0,385,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-24,140,14,384,0,0.0,384,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-27,140,14,378,0,0.0,378,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-28,140,14,378,0,0.0,378,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-29,140,14,381,0,0.0,381,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-30,140,14,379,0,0.0,379,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-03-31,140,14,388,0,0.0,388,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-03,140,14,381,0,0.0,381,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-04,140,14,383,0,0.0,383,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-05,140,14,383,0,0.0,383,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-06,140,14,412,6,0.014563106796116505,412,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-07,140,14,387,0,0.0,387,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-10,140,14,383,0,0.0,383,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-11,140,14,391,0,0.0,391,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-12,140,14,385,0,0.0,385,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-13,140,14,388,0,0.0,388,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-14,140,14,388,0,0.0,388,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-17,140,14,388,0,0.0,388,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-18,140,14,389,0,0.0,389,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-19,140,14,390,0,0.0,390,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-20,140,14,389,0,0.0,389,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-21,140,14,389,0,0.0,389,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-24,140,14,388,0,0.0,388,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-25,140,14,387,0,0.0,387,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-26,140,14,395,0,0.0,395,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-27,140,14,398,0,0.0,398,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-04-28,140,14,396,0,0.0,396,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-01,140,14,396,0,0.0,396,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-02,140,14,397,0,0.0,397,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-03,140,14,405,0,0.0,405,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-04,140,14,406,0,0.0,406,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-05,140,14,404,0,0.0,404,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-08,140,14,404,0,0.0,404,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-09,140,14,403,0,0.0,403,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-10,140,14,409,0,0.0,409,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-11,140,14,399,0,0.0,399,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-12,140,14,400,0,0.0,400,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-15,140,14,397,0,0.0,397,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-16,140,14,397,0,0.0,397,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-17,140,14,392,0,0.0,392,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-18,140,14,399,0,0.0,399,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-19,140,14,399,0,0.0,399,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-22,140,14,394,0,0.0,394,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-23,140,14,400,0,0.0,400,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-24,140,14,389,0,0.0,389,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-25,140,14,392,0,0.0,392,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-26,140,14,392,0,0.0,392,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-29,140,14,389,0,0.0,389,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-30,140,14,389,0,0.0,389,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-05-31,140,14,388,0,0.0,388,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-01,140,14,334,0,0.0,334,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-02,140,14,338,0,0.0,338,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-03,140,14,332,0,0.0,332,0,0.0
rounded_mid,false,rounded,original,NZDUSD,2016-11-04,140,14,335,0,0.0,335,0,0.0
