date,call_pairs_tested,call_violations,call_violation_rate,put_pairs_tested,put_violations,put_violation_rate,year,call_rate_30d,put_rate_30d
2000-08-18,263,0,0.0,230,0,0.0,2000,0.000302553220150917,0.002299717992782471
2000-08-21,177,0,0.0,346,0,0.0,2000,0.00016308320620391558,0.0022010986633939104
2000-08-22,209,0,0.0,326,0,0.0,2000,0.00016308320620391558,0.0019244734905031777
2000-08-23,392,0,0.0,310,0,0.0,2000,0.00016308320620391558,0.0019244734905031777
2000-08-24,217,0,0.0,208,0,0.0,2000,0.00016308320620391558,0.0018162483822780694
2000-08-25,139,0,0.0,189,0,0.0,2000,0.00016308320620391558,0.0018162483822780694
2000-08-28,369,0,0.0,482,0,0.0,2000,0.00016308320620391558,0.0016474720109700524
2000-08-29,203,0,0.0,300,0,0.0,2000,0.00016308320620391558,0.0015151968786949201
2000-08-30,172,0,0.0,348,0,0.0,2000,0.00016308320620391558,0.0015151968786949201
2000-08-31,268,0,0.0,395,0,0.0,2000,0.00016308320620391558,0.0015151968786949201
2000-09-01,174,0,0.0,599,0,0.0,2000,0.00016308320620391558,0.0015151968786949201
2000-09-05,218,0,0.0,358,4,0.0111731843575419,2000,0.00016308320620391558,0.0018876363572796504
2000-09-06,243,0,0.0,260,0,0.0,2000,0.00016308320620391558,0.0018876363572796504
2000-09-07,285,0,0.0,265,0,0.0,2000,0.00016308320620391558,0.0018876363572796504
2000-09-08,224,0,0.0,259,0,0.0,2000,0.00007627765064836003,0.0015317644711586539
2000-09-11,274,0,0.0,439,0,0.0,2000,0.0,0.0015317644711586539
2000-09-12,292,0,0.0,491,0,0.0,2000,0.0,0.0015317644711586539
2000-09-13,247,1,0.004048582995951417,255,0,0.0,2000,0.0001349527665317139,0.0015317644711586539
2000-09-14,320,0,0.0,246,0,0.0,2000,0.0001349527665317139,0.0015317644711586539
2000-09-15,289,0,0.0,368,0,0.0,2000,0.0001349527665317139,0.0015317644711586539
2000-09-18,478,0,0.0,306,0,0.0,2000,0.0001349527665317139,0.0015317644711586539
2000-09-19,319,0,0.0,269,0,0.0,2000,0.0001349527665317139,0.0015317644711586539
2000-09-20,237,0,0.0,342,0,0.0,2000,0.0001349527665317139,0.0015317644711586539
2000-09-21,201,0,0.0,416,2,0.004807692307692308,2000,0.0001349527665317139,0.0014626630832499266
2000-09-22,236,0,0.0,478,0,0.0,2000,0.0001349527665317139,0.0014626630832499266
